epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1044.21,0.79698,0.54544,0.9502,0.99244,0.99425,0.99414,0.84201,0.6237,0.3928,0.88513,0.000379743,0.000379743,0.000379743
80,1057.59,0.79824,0.56492,0.9512,0.9831,0.98878,0.99385,0.83043,0.61876,0.3921,0.88514,0.000363239,0.000363239,0.000363239
81,1069.54,0.79578,0.55723,0.95247,0.9871,0.99354,0.99428,0.84096,0.60515,0.38647,0.8788,0.000346736,0.000346736,0.000346736
82,1082.13,0.77267,0.53996,0.9429,0.99489,0.98213,0.99457,0.84276,0.60049,0.38717,0.87814,0.000330233,0.000330233,0.000330233
83,1095.65,0.80657,0.55763,0.97414,0.99652,0.98878,0.99491,0.83898,0.6085,0.38261,0.87929,0.000313729,0.000313729,0.000313729
84,1109.27,0.73672,0.51302,0.93345,0.99187,0.99353,0.99488,0.84372,0.59135,0.36914,0.87474,0.000297226,0.000297226,0.000297226
85,1122.79,0.76715,0.527,0.95417,0.99815,0.99325,0.99465,0.85227,0.57848,0.36329,0.86765,0.000280723,0.000280723,0.000280723
86,1136.03,0.73085,0.51668,0.9401,0.99501,0.99435,0.99478,0.85088,0.57737,0.36545,0.86974,0.00026422,0.00026422,0.00026422
87,1147.81,0.7328,0.50902,0.93654,0.99514,0.99354,0.99481,0.85006,0.58882,0.36248,0.87488,0.000247716,0.000247716,0.000247716
88,1160.68,0.74314,0.5154,0.93744,0.99615,0.99354,0.99484,0.857,0.57113,0.35561,0.86636,0.000231213,0.000231213,0.000231213
89,1174.21,0.73389,0.50969,0.94397,0.99692,0.98871,0.9949,0.86038,0.56394,0.35286,0.86257,0.00021471,0.00021471,0.00021471
90,1187.92,0.72727,0.49299,0.93486,0.99683,0.98619,0.99485,0.8656,0.55011,0.35064,0.85722,0.000198206,0.000198206,0.000198206
91,1203.69,0.63402,0.40815,0.89903,0.99807,0.99248,0.99497,0.85777,0.5683,0.35422,0.86376,0.000181703,0.000181703,0.000181703
92,1216.56,0.64633,0.40437,0.89446,0.99797,0.99476,0.99499,0.85644,0.56577,0.3503,0.86204,0.0001652,0.0001652,0.0001652
93,1228.31,0.62295,0.39909,0.88632,0.99733,0.99612,0.995,0.86577,0.54729,0.34196,0.8569,0.000148696,0.000148696,0.000148696
94,1240.68,0.6181,0.39405,0.88069,0.99859,0.99612,0.995,0.8684,0.54244,0.33556,0.85497,0.000132193,0.000132193,0.000132193
95,1253.57,0.61057,0.38279,0.87343,0.99913,0.99612,0.995,0.86326,0.54724,0.33541,0.85633,0.00011569,0.00011569,0.00011569
96,1266.95,0.61124,0.37732,0.87716,0.99919,0.99612,0.995,0.87288,0.52681,0.32938,0.84786,9.91865e-05,9.91865e-05,9.91865e-05
97,1279.55,0.60088,0.38223,0.88377,0.99915,0.99612,0.995,0.86888,0.53486,0.32805,0.85136,8.26832e-05,8.26832e-05,8.26832e-05
98,1290.8,0.6003,0.37102,0.89202,0.99902,0.99612,0.995,0.87948,0.51478,0.32379,0.84531,6.61799e-05,6.61799e-05,6.61799e-05
99,1303.68,0.59864,0.365,0.88456,0.99897,0.99612,0.995,0.88212,0.50389,0.32123,0.84251,4.96766e-05,4.96766e-05,4.96766e-05
100,1316.6,0.57697,0.35609,0.86956,0.99908,0.99612,0.995,0.88321,0.50229,0.32044,0.84239,3.31733e-05,3.31733e-05,3.31733e-05
