epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,479.653,0.88358,0.69701,0.98591,0.97278,0.94175,0.98463,0.78624,0.77932,0.52908,0.96723,0.0008912,0.0008912,0.0008912
58,487.742,0.8569,0.68627,1.00999,0.96426,0.96032,0.9872,0.80682,0.72778,0.5197,0.93993,0.0008714,0.0008714,0.0008714
59,496.688,0.89982,0.68027,1.00418,0.97179,0.93528,0.98317,0.79829,0.75153,0.53397,0.94837,0.0008516,0.0008516,0.0008516
60,504.209,0.82502,0.6408,0.98648,0.97073,0.93851,0.98005,0.80629,0.7298,0.51179,0.93675,0.0008318,0.0008318,0.0008318
61,513.486,0.86902,0.66782,1.00169,0.96299,0.92619,0.98002,0.78819,0.76537,0.54734,0.96396,0.000812,0.000812,0.000812
62,520.734,0.84407,0.66442,0.99499,0.9705,0.95805,0.98805,0.803,0.704,0.49204,0.94136,0.0007922,0.0007922,0.0007922
63,530.156,0.84618,0.65778,0.9892,0.92711,0.94675,0.98227,0.80339,0.72772,0.52891,0.9638,0.0007724,0.0007724,0.0007724
64,537.366,0.90415,0.73197,1.04073,0.99005,0.96589,0.99265,0.81346,0.71185,0.47864,0.94157,0.0007526,0.0007526,0.0007526
65,546.806,0.77967,0.78762,0.93715,0.97861,0.97087,0.99173,0.80284,0.75019,0.4874,0.96388,0.0007328,0.0007328,0.0007328
66,553.959,0.89153,0.7499,1.04641,0.97388,0.96536,0.9917,0.82084,0.67889,0.49392,0.92645,0.000713,0.000713,0.000713
67,563.363,0.81465,0.60782,0.97559,0.97243,0.94498,0.98723,0.83163,0.67149,0.56653,0.91853,0.0006932,0.0006932,0.0006932
68,570.565,0.86582,0.65815,1.00295,0.98552,0.9644,0.99152,0.81961,0.67298,0.48477,0.9167,0.0006734,0.0006734,0.0006734
69,580.115,0.78448,0.59109,0.94907,0.9773,0.97516,0.9928,0.82866,0.6636,0.46256,0.91735,0.0006536,0.0006536,0.0006536
70,587.443,0.8059,0.63432,0.96385,0.9832,0.94719,0.98762,0.82145,0.66499,0.48666,0.92638,0.0006338,0.0006338,0.0006338
71,596.884,0.80442,0.60472,0.96984,0.98537,0.9644,0.99058,0.82042,0.67105,0.45187,0.92103,0.000614,0.000614,0.000614
72,604.51,0.8047,0.62444,0.97867,0.96149,0.96954,0.98893,0.82893,0.67212,0.45723,0.92626,0.0005942,0.0005942,0.0005942
73,613.432,0.81255,0.60498,0.97525,0.97939,0.97087,0.99327,0.83598,0.63386,0.42526,0.90379,0.0005744,0.0005744,0.0005744
74,621.522,0.78215,0.57485,0.97701,0.9821,0.96764,0.99254,0.84282,0.62991,0.43271,0.90368,0.0005546,0.0005546,0.0005546
75,629.878,0.71513,0.54023,0.93544,0.97544,0.97735,0.99201,0.843,0.61018,0.43623,0.89088,0.0005348,0.0005348,0.0005348
